dir,mod,nm,prod,productId,protocol,sigid,sigwid,machine_type,os_arch,os_name,product_name,product_version,sp_major_version,trial_copy,country_name,real_region_name,Predicted_Label,Binary_Label
in,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt9,SMB,30735,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,0.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt4,SMB,30735,qhcltr4,DESKTOP,64Bit,Windows Server 2012 64 bit,qhpname3,qhpver0,0.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,1.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,1.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,0.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt2,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname4,qhpver0,1.0,0.0,country4,region7,Inlier,0
in,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt6,SMB,1912,qhcltr0,DESKTOP,64Bit,Windows 7 64 bit,qhpname6,qhpver0,1.0,0.0,country4,region28,Inlier,0
in,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt6,SMB,1912,qhcltr0,DESKTOP,32Bit,Windows 7,qhpname6,qhpver0,1.0,0.0,country4,region26,Inlier,0
in,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt9,SMB,30735,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,0.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt6,SMB,30735,qhcltr4,LAPTOP,64Bit,Windows 7 64 bit,qhpname6,qhpver0,1.0,0.0,country8,region4,Inlier,0
in,blk,SMB/Autoblue.UN!SP.30735,UN,qhpdt4,SMB,30735,qhcltr4,DESKTOP,64Bit,Windows Server 2012 64 bit,qhpname3,qhpver0,0.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,1.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,1.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname7,qhpver0,0.0,0.0,country4,region-1,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt2,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname4,qhpver0,1.0,0.0,country4,region7,Inlier,0
in,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt2,SMB,31780,qhcltr4,DESKTOP,64Bit,Windows 7 64 bit,qhpname4,qhpver0,1.0,0.0,country4,region7,Inlier,0
in,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt3,SMB,1912,qhcltr0,DESKTOP,64Bit,Windows 7 64 bit,qhpname4,qhpver1,1.0,1.0,country4,region26,Inlier,0
in,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt10,SMB,1912,qhcltr0,DESKTOP,32Bit,Windows 7,qhpname7,qhpver1,0.0,1.0,country4,region-1,Inlier,0
